1, Kohl's, 5715 Edison Ave, Springfield, 24692, IL, 598 348 5987
59, Target, 246 S Broadway, Tallahassee, 81542, FL, 647 699 9680
60, Nordstrom Rack, 3235 Elk Grove Rd, Boston, 44537, MA, 632 676 2951
61, Nordstrom, 7845 Duvali Dr, Phoenix, 86341, AZ, 311 691 1887
62, Saks Fifth Avenue, 6597 S Broadway, Atlanta, 60246, GA, 744 607 6148
63, Neiman Marcus, 9538 Danbury Ct, Tallahassee, 57982, FL, 731 884 6533
64, Kmart, 6660 Hillview Dr, Atlanta, 69856, GA, 458 552 4098
65, Kohl's, 9886 Pagaling Dr, Tallahassee, 67736, FL, 720 415 6272
66, Neiman Marcus, 8057 Stuart Dr, Albany, 79657, NY, 253 958 9809
67, Saks Off 5th, 3367 Danbury Ct, Austin, 90346, TX, 766 202 8989
68, Nordstrom, 8350 Del Cielo Ct, Springfield, 41577, IL, 710 315 7389
69, Kohl's, 7956 Luneta Plaza, Atlanta, 64261, GA, 409 607 6041
70, Bloomingdale's, 820 Lupine St, Springfield, 39451, IL, 238 263 7540
71, Nordstrom Rack, 166 Marcia Way, Tallahassee, 92074, FL, 790 210 3453
72, Saks Off 5th, 8216 Blanche Ct, Tallahassee, 75344, FL, 596 702 1033
73, Kmart, 6773 Thompson Way, Austin, 50207, TX, 518 593 8980
74, Kmart, 4132 Elder, Denver, 20252, CO, 205 165 4053
75, Nordstrom Rack, 4136 Elk Grove Rd, Boston, 82392, MA, 454 871 5623
76, Target, 6844 Atherly Ln, Atlanta, 91914, GA, 495 409 3497
77, Sears, 1270 Luneta Plaza, Denver, 54155, CO, 262 227 1776
78, Saks Off 5th, 6128 Edison Ave, Boston, 67716, MA, 807 328 6452
79, Sears, 2977 Princeton Ave, Olympia, 79860, WA, 499 328 9997
80, Bloomingdale's, 3912 Oak Park Ln, Phoenix, 91098, AZ, 466 609 9850
81, Macy's, 5514 Sweet Rain Pl, Austin, 26868, TX, 590 963 9432
82, Kmart, 3959 Dermanak Dr, Austin, 13811, TX, 101 802 8139
83, Kohl's, 6656 Bradley, Atlanta, 47362, GA, 691 175 5481
84, Saks Fifth Avenue, 4460 Richview Rd, Olympia, 89239, WA, 299 958 4617
85, Kmart, 1158 Hastings Dr, Springfield, 33118, IL, 306 161 1597
86, Neiman Marcus, 1910 Apple Grove Ln, Olympia, 61695, WA, 949 553 2898
87, Nordstrom, 2726 Lantana Ct, Boston, 89268, MA, 826 371 8277
88, Nordstrom, 7705 Crestmont Ct, Atlanta, 27667, GA, 569 507 6139
89, Neiman Marcus, 1366 Lantana Ct, Springfield, 72994, IL, 273 438 3707
90, Sears, 3171 Still Meadow Rd, Olympia, 71172, WA, 862 815 1579
91, Kmart, 4809 Cagney Way, Tallahassee, 45461, FL, 108 126 8591
92, Kmart, 9379 Blanche Ct, Phoenix, 53624, AZ, 497 619 2765
93, Saks Fifth Avenue, 9638 Shady Glade Dr, Denver, 77673, CO, 702 197 9499
94, Walmart, 3627 Atterdag Rd, Springfield, 38185, IL, 460 114 8548
95, Nordstrom Rack, 4787 Lakeview Ct, Albany, 15248, NY, 681 135 3097
96, Macy's, 5370 Bramadero Rd, Phoenix, 88695, AZ, 318 878 5519
97, Nordstrom, 386 Noroeste Ave, Springfield, 24808, IL, 417 468 5056
98, Kohl's, 3783 Elk Grove Rd, Phoenix, 52897, AZ, 932 338 7106
99, Saks Off 5th, 389 Sagan Ct, Denver, 70421, CO, 672 285 6431
100, Walmart, 5517 Brooks St, Springfield, 14348, IL, 527 250 6322
